ID,用户问题,期望答案要点,期望来源文档ID,期望证据文本,是否应拒答,评测重点,备注
Q019,金昌市有会计或财务类岗位吗？,岗位：出纳；单位：甘肃金源发生态环保科技有限公司；地点：甘肃省金昌市金川区双湾镇；薪资：2500-2500元；类别：出纳员；人数：1；学历：大学本科。,J,"从JSON中提取：{""title"":""出纳"",""address"":""甘肃省金昌市金川区双湾镇"",""company"":""甘肃金源发生态环保科技有限公司"",""salary"":""2500-2500元"",""category"":""出纳员"",""headcount"":""1"",""education"":""大学本科""}",否,岗位匹配类,
Q020,嘉峪关市有什么客服类岗位？,岗位：电话销售客服；单位：嘉峪关瑾瑜聚创信息技术有限公司；地点：甘肃省嘉峪关市雄关街道办事处；薪资：3000-5000元；类别：电话销售；人数：10；学历：职业高中。,J,"从JSON中提取：{""title"":""电话销售客服"",""address"":""甘肃省嘉峪关市雄关街道办事处"",""company"":""嘉峪关瑾瑜聚创信息技术有限公司"",""salary"":""3000-5000元"",""category"":""电话销售"",""headcount"":""10"",""education"":""职业高中""}",否,岗位匹配类,
Q021,金昌市有物流仓储类的岗位吗？,岗位：快递员；单位：金昌市智慧物流有限公司；地点：甘肃省金昌市金川区临夏路13号智慧物流园；薪资：5000-5000元；类别：快递员；人数：3；学历：职业高中。,J,"从JSON中提取：{""title"":""快递员"",""address"":""甘肃省金昌市金川区临夏路13号智慧物流园"",""company"":""金昌市智慧物流有限公司"",""salary"":""5000-5000元"",""category"":""快递员"",""headcount"":""3"",""education"":""职业高中""}",否,岗位匹配类,
Q022,兰州新区有哪些正在招聘的岗位？,岗位：采样员；单位：凯乐检测认证集团（甘肃）有限公司；地点：甘肃省兰州新区中川园区中川镇；薪资：4000-6000元；类别：化工实验室研究员/技术员；人数：4；学历：大学专科。,J,"从JSON中提取：{""title"":""采样员"",""address"":""甘肃省兰州新区中川园区中川镇"",""company"":""凯乐检测认证集团（甘肃）有限公司"",""salary"":""4000-6000元"",""category"":""化工实验室研究员/技术员"",""headcount"":""4"",""education"":""大学专科""}",否,岗位匹配类,
Q023,失业登记怎么弄？,线上可登录甘肃人社公共服务平台或全国人社政务服务平台办理；线下可到户籍地或常住地公共就业服务机构办理，需提供身份证、填写申请表。,evaldoc::8a4cc2869cc5::就业登记失业登记业务办理简单说明,一、线上失业登记：1.申请人注册登录全国人力资源社会保障政务服务平台……或甘肃人社公共服务平台……点击‘在线办理’；二、线下失业登记：1.在县级公共就业服务机构或所在社区申请办理失业登记。2.办理要件:（1）申请人填写《失业人员登记表》《失业人员承诺书》；（2）申请人身份证复印件……,否,口语化问法,
Q024,创业贷款去哪申请？,向创业项目所在地社区或乡镇提交申请，有条件的地区可直接向人社部门提交。,evaldoc::2e66bbac6eaf::甘肃省人力资源和社会保障厅 甘肃省财政厅 中国人民银行甘肃省分行,第十条 （一）借款人向创业项目所在地社区或乡镇承办单位（基层劳动保障事务所）提交申请材料。有条件的地区可简化程序，由借款人直接向创业项目所在地的市级或县级人力资源社会保障部门提交申请。,否,口语化问法,
Q025,就业登记需要带啥材料？,身份证原件，填写《就业人员登记表》，从事个体经营的还需营业执照原件。,evaldoc::931a68914f05::就业登记业务办理条件,申请资料：1、从事个体经营、灵活就业劳动者办理就业登记时，填写《就业人员登记表》……2、身份证原件；3、从事个体经营的劳动者及其雇工提供本人（雇主）的营业执照原件。,否,口语化问法,
Q026,就业困难人员认定有啥标准？,包括城镇大龄人员、零就业家庭成员、城镇低保人员、残疾人员、长期失业人员、失地农民等。,evaldoc::d5b45f001dee::就业失业管理热点问题回答,七、就业困难人员认定的标准……1.城镇大龄人员……2.‘零就业家庭’成员……3.城镇低保人员……4.残疾人员……5.长期失业人员……6.失地农民……7.省政府确定的其他就业困难人员。,否,口语化问法,
Q027,甘肃省2026年事业单位招聘公告在哪里看？,（文档中无任何事业单位招聘信息，应拒答）,,所有文档中均未涉及事业单位招聘公告相关内容。,是,应拒答类,
Q028,个人养老金账户怎么开通？,（文档中无个人养老金相关内容，应拒答）,,所有文档中均未涉及个人养老金账户开通相关内容。,是,应拒答类,
Q029,兰州市城关区就业服务中心周末上班吗？,（文档中只有工作日时间，无周末营业信息，应拒答）,,文档中仅注明“工作日上午9:00-12:00，下午1:00-5:00”，未提供周末服务安排。,是,应拒答类,
Q030,职业技能等级证书怎么查询？,（文档中无证书查询相关内容，应拒答）,,所有文档中均未涉及职业技能等级证书查询渠道或方法。,是,应拒答类,
